title,itemId
KURISUMALA ASHRAM,1
Murugan Hill,2
Vagamon Kurishumala Church,3
Vagamon Hill Town,4
Vagamon Meadows Lake,5
Vagamon Pine Forest,6
Marmala Waterfalls,7
Karikadu View Point,8
Kurishumala,9
Vagamon Orchid Garden,10
"Vellappara Water fall, Urumbikkara",11
Evan View Point,12
Madhammakkulam Waterfalls,13
Kottathavalam Waterfalls,14
Uluppuni Top Station,15
Aruvickachal Waterfalls,16
Madammakulam waterfalls,17
Kavantha,18
Vembly Waterfalls,19
Sahyadri Museum,20
Mozart Art Gallery,21
Municipal Jubilee Park,22
Nalumanikattu,23
Malarikkal Sunset View Point,24
Puthuppally Elephants Care Point,25
St. Joseph's Monastery,26
Hangout play world,27
Neendoor park,28
Vaikom Beach,29
Fish World Aqua Tourism,30
Vaikom Lake Beach,31
Ezhumanthuruthu,32
Kadanthery Nature Park,33
Anchu Vilakku,34
Kumarakom Bird Sanctuary Observatory Tower,35
Pathiramanal Island,36
Bay Island Driftwood Museum,37
Village Life Experience,38
The Great Backwaters,39
INTERNATIONAL COIR MUSEUM,40
Brackish Lagoons Alleppey,41
Meenappally Kayal,42
Discs & Machines - Sunny's Gramophone Museum and Records Archive,43
"Nadukani View Point, Kayyoor",44
Vengathanam WaterFalls,45
Illikkal Kallu,46
Oottupara,47
Perunthenaruvi Falls,48
St. Alphonsa's Tomb,49
Aruvikuzhy Waterfalls,50
Pampanal Waterfalls,51
Malankara Dam,52
Pulinkunnoo,53
Uncle John i-Drive,54
Kuruvadweep,55
Wayanad Wildlife Sanctuary,56
PAZHASSI RAJA MEMORIAL,57
Valmeekam Tribal Museum,58
"Wayanad Wildlife Sanctuary, Muthanga range",59
Chethalayam Waterfalls,60
Muthanga Wildlife Safari,61
Mukurthi National Park,62
Chembra,63
Hridaya Saras,64
Karapuzha Reservoir,65
Kurumbalakkotta Mala,66
Gandhi Museum,67
Karlad Lake,68
C.O. Mathew Foundation Park,69
Kurumbalakotta View Point,70
Wayanad Tea Museum,71
"Karapuzha Dam, Lake And Gardens",72
"Elimbileri, Rain Forest Resort.",73
Nellarachal,74
MuddyBoots Zipline,75
Kurumbalakotta Hill Top,76
Muneeswaran Kunnu Viewpoint,77
Edakkal Caves,78
Ambukuthi Mala,79
Kolagappara,80
Kaduvakuzhi View Point,81
Arattupara View Point,82
Cheengeri Mala,83
Kolagappara Rock,84
Karinthandan Temple,85
Soochipara Waterfalls,86
Kanthanpara Waterfalls,87
Pookode Lake,88
Lakkidi View Point,89
Vellarimala,90
Kakkayam Dam,91
Arippara Water Falls,92
Vayalada Viewpoint,93
Thamarassery Churam,94
Vavul Mala,95
Urakkuzhi Waterfalls,96
Tentgram 900 Kandi,97
Aranamala Peak,98
Vellarimala Eco Tourism,99
Vanaparvam Biodiversity Park,100
Jeep Safari Wayanad,101
Thonikadav View Point,102
Glass Bridge 900 Kandi Wayanad,103
Urumi Dam 1,104
Olichuchattam Waterfall,105
Fun Fantasy,106
Meenmutty View Point,107
"Pathangayam Water Falls, Narangathod",108
Kakkadampoyil Waterfall,109
Swargam Kunnu,110
Kakkayam View Point,111
Urumi Dam 2,112
"Kakkad Eco Tourism, Interpretation Centre",113
Pazhassi Raja Tomb,114
Heritage Museum,115
RARS Flowershow Park,116
Banasura Hill,117
E3 Theme Parks,118
Neelimala View Point,119
Makkiyad Meenmutty Water Falls,120
Gurukula Botanical Sanctuary,121
Chirapullu Peak,122
Paalchuram Falls,123
Bekal Fort,124
Chandragiri Fort,125
Bekal Beach Park,126
Pallikkara Beach Park,127
Kasaragod Beach,128
Maipady Palace,129
Municipal Childrens Park Thalangara Padinhar,130
Hosdurg Fort,131
Hosdurg Beach,132
Manjampothikunnu,133
Kanhangad Beach,134
Thaikadappuram Beach,135
Veeramala Kunnu,136
Valiyaparamba,137
Valiyaparamba Beach,138
Madakkal,139
Hanuman Statue Ezhimala,140
V-PRA Kids park,141
Ranipuram Peak,142
Ranipuram View Point,143
Theanvarikallu Falls Malom,144
Nileshwaram Palace,145
Kareem Forest Park,146
Ariyil Waterfalls,147
"Chooral , Haritheerthakkara Water Falls",148
Kumbla Fort,149
St. Angelo Fort,150
Arakkal Museum Kannur,151
Kannur Light House,152
Kerala Folklore Akademi,153
Baby Beach,154
Muzhappilangad Drive in Beach,155
Sadhoo Merry Kingdom,156
Guest House Sea Path Way Park Kannur,157
Payyambalam Park,158
Science Park Kannur,159
Mappila Beach,160
Kadalayi Sree Krishna Temple Pond,161
Chal Beach & Park,162
Chirakkal Chira,163
Kottancheri Hill Station Malom,164
Thirunetti Kallu,165
Pulikode WaterFalls,166
Kottencheri Hill,167
Thonikadavu GreenHills (PRIVATE PROPERTY ),168
Posadi Gumpe Falls,169
Palakkayam Thattu,170
Kappimala Waterfalls,171
Chootad Beach,172
Ettikulam Beach,173
Choottad Beach Park,174
Kadalundi Bird Sanctuary,175
Pazhassiraja Archaeological Museum,176
Art Gallery And Krishna Menon Museum,177
Sarovaram Bio Park,178
BlueC Event Hub,179
Regional Science Centre And Planetarium,180
KIRTADS Ethnological Museum,181
"Indian Business Museum, IIM Kozhikode",182
Kalipoika,183
Malabar Botanical Garden and Institute for Plant Sciences,184
Calicut University Botanical Garden,185
BEYPORE Lighthouse Chaliyam,186
Beypore Fishing Harbour,187
Kamburam Beach,188
Ancia Beach,189
Beypore Pulimood Beach,190
Bhatt Road Beach,191
VMK Botanical Garden,192
Bilathikulam Temple Pond,193
Beypore pulimutt,194
CM Valiyullahi,195
Thiruvachira Pond,196
Sargaalaya Arts & Crafts Village,197
Kolavi Beach,198
Kunjali Marakkar Museum,199
Janaki Forest,200
Parapally Beach Kollam,201
